lambda,is_tetha_fixed,Pb,Pd,Nc,client_numbers
0.2000000000,0,0.0000000000,0.2736841667,0.1642038424,30000000
0.3000000000,0,0.0000000000,0.2862885333,0.2576283396,30000000
0.4000000000,0,0.0000000000,0.2993314667,0.3594320631,30000000
0.5000000000,0,0.0000000000,0.3130440000,0.4697759397,30000000
15.1000000000,0,0.6367964000,0.2970065333,13.4566224436,30000000
10.1000000000,0,0.4720228000,0.4289652000,12.9969551566,30000000
0.6000000000,0,0.0000000000,0.3274412333,0.5893031611,30000000
5.1000000000,0,0.1214071667,0.6825618000,10.4406220677,30000000
0.7000000000,0,0.0000000000,0.3422388000,0.7182104381,30000000
0.8000000000,0,0.0000000000,0.3573368667,0.8573520979,30000000
0.9000000000,0,0.0000000667,0.3727316000,1.0069987153,30000000
15.2000000000,0,0.6389404667,0.2952412333,13.4609203531,30000000
10.2000000000,0,0.4764524333,0.4254637333,13.0130999255,30000000
1.0000000000,0,0.0000001000,0.3883012333,1.1645286718,30000000
5.2000000000,0,0.1302531000,0.6774465333,10.5701383238,30000000
1.1000000000,0,0.0000001333,0.4041941000,1.3344693122,30000000
1.2000000000,0,0.0000002333,0.4206159000,1.5138591881,30000000
15.3000000000,0,0.6413152667,0.2933673667,13.4661926268,30000000
1.3000000000,0,0.0000008667,0.4369160667,1.7054954170,30000000
10.3000000000,0,0.4809552333,0.4219580333,13.0270923669,30000000
5.3000000000,0,0.1387209667,0.6725588000,10.6918114411,30000000
1.4000000000,0,0.0000021667,0.4530472667,1.9029702972,30000000
1.5000000000,0,0.0000046000,0.4695350333,2.1153894630,30000000
15.4000000000,0,0.6434047333,0.2916239667,13.4704436460,30000000
10.4000000000,0,0.4855344000,0.4182027333,13.0434608909,30000000
1.6000000000,0,0.0000098000,0.4853585000,2.3301609413,30000000
5.4000000000,0,0.1471837667,0.6675232667,10.8079500414,30000000
1.7000000000,0,0.0000220000,0.5012840000,2.5568051597,30000000
15.5000000000,0,0.6456726000,0.2898259333,13.4757002707,30000000
1.8000000000,0,0.0000364667,0.5173708667,2.7939245383,30000000
10.5000000000,0,0.4902454667,0.4145917333,13.0599008196,30000000
5.5000000000,0,0.1562026333,0.6619690000,10.9227610399,30000000
1.9000000000,0,0.0000732000,0.5322568667,3.0335404567,30000000
15.6000000000,0,0.6477140000,0.2881058667,13.4796902003,30000000
2.0000000000,0,0.0001298000,0.5475628000,3.2861347067,30000000
10.6000000000,0,0.4946904333,0.4110236000,13.0730055271,30000000
2.1000000000,0,0.0002077667,0.5619626333,3.5382666747,30000000
15.7000000000,0,0.6500677333,0.2862690333,13.4847001690,30000000
5.6000000000,0,0.1650184667,0.6565063333,11.0329386223,30000000
2.2000000000,0,0.0003333000,0.5758986000,3.7989078362,30000000
10.7000000000,0,0.4989865667,0.4076620333,13.0877070834,30000000
5.7000000000,0,0.1164411000,0.4368778000,-nan,30000000
15.8000000000,0,0.6524626667,0.2843168000,13.4903451499,30000000
2.3000000000,0,0.0005274000,0.5893143333,4.0661154527,30000000
10.8000000000,0,0.5031112667,0.4043611333,13.1015009824,30000000
2.4000000000,0,0.0007966667,0.6023828333,4.3385218618,30000000
15.9000000000,0,0.6541756667,0.2829776000,13.4940084207,30000000
5.8000000000,0,0.1826551333,0.6450209000,11.2306837498,30000000
2.5000000000,0,0.0011879333,0.6147052333,4.6111572963,30000000
10.9000000000,0,0.5074044000,0.4009130667,13.1143807961,30000000
16.0000000000,0,0.6563383667,0.2811732000,13.4986737652,30000000
2.6000000000,0,0.0016887333,0.6263062667,4.8857452149,30000000
5.9000000000,0,0.1909392667,0.6395310000,11.3167093749,30000000
2.7000000000,0,0.0023895667,0.6375083000,5.1638272307,30000000
11.0000000000,0,0.5115565667,0.3976766667,13.1270584541,30000000
16.1000000000,0,0.6583427333,0.2795325667,13.5025202233,30000000
6.0000000000,0,0.1996674333,0.6335525333,11.4048706520,30000000
2.8000000000,0,0.0032814333,0.6477068333,5.4413006502,30000000
16.2000000000,0,0.6605700333,0.2777759000,13.5064797860,30000000
11.1000000000,0,0.5153821000,0.3945373000,13.1393242368,30000000
2.9000000000,0,0.0043785333,0.6572216333,5.7165719194,30000000
6.1000000000,0,0.2080641333,0.6280125667,11.4851111338,30000000
16.3000000000,0,0.6624402667,0.2763251000,13.5108803593,30000000
11.2000000000,0,0.5193596667,0.3913624333,13.1508868676,30000000
3.0000000000,0,0.0058617000,0.6659872667,5.9958056694,30000000
11.3000000000,0,0.1929236000,0.1432806333,-nan,30000000
6.2000000000,0,0.2167751000,0.6219097667,11.5648167726,30000000
16.4000000000,0,0.6645023667,0.2745157000,13.5155354758,30000000
3.1000000000,0,0.0075219333,0.6737511333,6.2616692498,30000000
11.4000000000,0,0.5269980333,0.3852843667,13.1732674831,30000000
16.5000000000,0,0.6662230667,0.2731375000,13.5187026680,30000000
3.2000000000,0,0.0096680333,0.6810529333,6.5381268918,30000000
6.3000000000,0,0.2253898000,0.6159772667,11.6405361807,30000000
11.5000000000,0,0.5308828333,0.3821485333,13.1852638040,30000000
3.3000000000,0,0.0120919667,0.6875163667,6.8072278606,30000000
16.6000000000,0,0.6683266000,0.2715095333,13.5235461288,30000000
6.4000000000,0,0.2340545333,0.6097524333,11.7138076238,30000000
3.4000000000,0,0.0148871333,0.6930008667,7.0693477028,30000000
11.6000000000,0,0.5345510667,0.3792065667,13.1960268898,30000000
16.7000000000,0,0.6701616333,0.2699503667,13.5267750955,30000000
16.8000000000,0,0.2036503667,0.0813965000,-nan,30000000
6.5000000000,0,0.2419218000,0.6041495000,11.7786213512,30000000
3.5000000000,0,0.0181332667,0.6978613000,7.3271324148,30000000
11.7000000000,0,0.5380992667,0.3763772000,13.2069788930,30000000
16.9000000000,0,0.6737675000,0.2670951667,13.5339104511,30000000
6.6000000000,0,0.2503841333,0.5981604333,11.8457176839,30000000
3.6000000000,0,0.0217247667,0.7015899667,7.5759784075,30000000
11.8000000000,0,0.5419390000,0.3733588333,13.2172087509,30000000
17.0000000000,0,0.6756866667,0.2654683000,13.5382912929,30000000
3.7000000000,0,0.0260438333,0.7048054000,7.8258561465,30000000
6.7000000000,0,0.2581063667,0.5925974333,11.9028993630,30000000
3.8000000000,0,0.0006041000,0.0138757000,-nan,30000000
11.9000000000,0,0.5453405667,0.3706263333,13.2277403606,30000000
17.1000000000,0,0.6773249667,0.2641362333,13.5415437961,30000000
3.9000000000,0,0.0355856667,0.7086012667,8.2903223070,30000000
6.8000000000,0,0.2665384333,0.5864367667,11.9660823363,30000000
12.0000000000,0,0.5491613000,0.3675575667,13.2375956228,30000000
17.2000000000,0,0.6791876667,0.2626670667,13.5451577198,30000000
4.0000000000,0,0.0410419667,0.7094514333,8.5185041555,30000000
6.9000000000,0,0.2742315667,0.5808812333,12.0206216469,30000000
12.1000000000,0,0.5525477667,0.3648869667,13.2474389457,30000000
17.3000000000,0,0.6809893000,0.2612044333,13.5487166057,30000000
4.1000000000,0,0.0466233667,0.7096039000,8.7297662994,30000000
17.4000000000,0,0.6831012667,0.2594275333,13.5529604832,30000000
12.2000000000,0,0.5556744667,0.3623706000,13.2565659201,30000000
7.0000000000,0,0.2821900000,0.5749255667,12.0740244395,30000000
4.2000000000,0,0.0529631333,0.7091810333,8.9387017901,30000000
17.5000000000,0,0.6847245000,0.2581433667,13.5564568620,30000000
12.3000000000,0,0.5591339000,0.3595528333,13.2653825830,30000000
7.1000000000,0,0.2899340667,0.5692569667,12.1258669258,30000000
4.3000000000,0,0.0595363667,0.7081113333,9.1369495899,30000000
17.6000000000,0,0.6863556333,0.2568055667,13.5593755345,30000000
12.4000000000,0,0.5624911000,0.3569122333,13.2752339973,30000000
7.2000000000,0,0.2974021000,0.5636698000,12.1737533461,30000000
17.7000000000,0,0.6881591333,0.2553118000,13.5623176727,30000000
4.4000000000,0,0.0663709667,0.7065153667,9.3270408728,30000000
12.5000000000,0,0.5658993667,0.3540948667,13.2837338198,30000000
7.3000000000,0,0.3052819000,0.5578087333,12.2223932282,30000000
17.8000000000,0,0.6896737000,0.2541339667,13.5653942205,30000000
4.5000000000,0,0.0734907667,0.7043454000,9.5050100543,30000000
12.6000000000,0,0.5691771333,0.3514567000,13.2919401069,30000000
17.9000000000,0,0.6912022000,0.2528318667,13.5685038160,30000000
7.4000000000,0,0.3121461333,0.5526664333,12.2662845122,30000000
4.6000000000,0,0.0809303333,0.7017361000,9.6828132321,30000000
12.7000000000,0,0.5724322667,0.3489209333,13.3010230231,30000000
18.0000000000,0,0.6931357000,0.2513593333,13.5727540360,30000000
7.5000000000,0,0.3196040667,0.5469893667,12.3076045062,30000000
12.8000000000,0,0.5751792667,0.3466559333,13.3084130604,30000000
4.7000000000,0,0.0886946667,0.6985686667,9.8488800629,30000000
18.1000000000,0,0.6947996667,0.2499457667,13.5758896646,30000000
7.6000000000,0,0.3269770667,0.5416325333,12.3515705319,30000000
12.9000000000,0,0.5783647000,0.3441318333,13.3162503942,30000000
4.8000000000,0,0.0965566000,0.6950284000,10.0034576101,30000000
18.2000000000,0,0.6962890667,0.2487665000,13.5784426046,30000000
7.7000000000,0,0.3336957000,0.5364860667,12.3900250314,30000000
13.0000000000,0,0.5814956333,0.3416031333,13.3241005691,30000000
4.9000000000,0,0.1048162000,0.6912292667,10.1585597788,30000000
18.3000000000,0,0.6979731333,0.2473780667,13.5812542459,30000000
13.1000000000,0,0.5844722333,0.3392057667,13.3322247637,30000000
7.8000000000,0,0.3407598333,0.5310621667,12.4276803915,30000000
18.4000000000,0,0.6994754333,0.2462147333,13.5845676296,30000000
5.0000000000,0,0.1131227333,0.6869841000,10.3023764935,30000000
13.2000000000,0,0.5873335333,0.3369266333,13.3396519127,30000000
18.5000000000,0,0.7011595000,0.2447823333,13.5878634228,30000000
7.9000000000,0,0.3473276333,0.5260147333,12.4614032142,30000000
2.1000000000,1,0.0010112333,0.5407056333,4.6550700368,30000000
18.0000000000,1,0.7190023000,0.2254639667,13.6190946248,30000000
11.3000000000,0,0.5230547000,0.3883763333,13.1619369182,30000000
13.3000000000,0,0.5904237667,0.3343550333,13.3465917265,30000000
18.6000000000,0,0.7024053667,0.2437212333,13.5898700631,30000000
8.0000000000,0,0.3538665333,0.5210111000,12.4953587524,30000000
6.1000000000,1,0.2625265000,0.5735886667,11.9305780157,30000000
3.8000000000,0,0.0303901000,0.7072261000,8.0615549859,30000000
16.8000000000,0,0.6721774000,0.2683029000,13.5309330842,30000000
18.7000000000,0,0.7043417000,0.2421392000,13.5938425821,30000000
13.4000000000,0,0.5931831333,0.3322509000,13.3541348153,30000000
8.1000000000,0,0.3606497333,0.5158007667,12.5309484592,30000000
18.8000000000,0,0.7056586333,0.2411862000,13.5963241993,30000000
13.5000000000,0,0.5962087667,0.3297862333,13.3609544996,30000000
5.7000000000,0,0.1736147333,0.6510894333,11.1286856088,30000000
8.2000000000,0,0.3674716333,0.5106877667,12.5638208755,30000000
18.9000000000,0,0.7072902333,0.2398020000,13.5990140265,30000000
13.6000000000,0,0.5987907000,0.3276216667,13.3673824022,30000000
8.3000000000,0,0.3736829333,0.5058276333,12.5938620610,30000000
19.0000000000,0,0.7087741000,0.2386460333,13.6018813313,30000000
13.7000000000,0,0.6016900333,0.3253393000,13.3746590999,30000000
19.1000000000,0,0.7101045667,0.2375468333,13.6043144767,30000000
8.4000000000,0,0.3797574333,0.5011395000,12.6234948192,30000000
13.8000000000,0,0.6044065333,0.3231602667,13.3816439050,30000000
19.2000000000,0,0.7118418667,0.2361099333,13.6078847088,30000000
8.5000000000,0,0.3860878333,0.4962832000,12.6522181831,30000000
13.9000000000,0,0.6070332333,0.3210766333,13.3874580366,30000000
19.3000000000,0,0.7131152667,0.2350264000,13.6097145566,30000000
14.0000000000,0,0.6096608667,0.3189884000,13.3940052400,30000000
8.6000000000,0,0.3921394333,0.4915881000,12.6794248380,30000000
19.4000000000,0,0.7147233333,0.2337062000,13.6130221340,30000000
14.1000000000,0,0.6121952000,0.3168493333,13.3994785925,30000000
8.7000000000,0,0.3982631000,0.4868336667,12.7078217384,30000000
19.5000000000,0,0.7159489000,0.2327701000,13.6150379914,30000000
14.2000000000,0,0.6149867667,0.3146927667,13.4061521856,30000000
19.6000000000,0,0.7173381667,0.2316641333,13.6176385557,30000000
8.8000000000,0,0.4038892667,0.4824945333,12.7317767651,30000000
15.0000000000,0,0.6344377333,0.2989364000,13.4507771037,30000000
14.3000000000,0,0.6175071333,0.3126391333,13.4123697570,30000000
10.0000000000,0,0.4672220333,0.4328416667,12.9803830941,30000000
9.4000000000,0,0.4372662333,0.4563766667,12.8688849635,30000000
14.4000000000,0,0.6198780000,0.3107329333,13.4178029577,30000000
19.6000000000,0,0.7173973000,0.2315809333,13.6180247935,30000000
8.9000000000,0,0.4100655333,0.4776512667,12.7594920071,30000000
9.5000000000,0,0.4427392333,0.4521926667,12.8899670117,30000000
19.7000000000,0,0.7187975667,0.2304596667,13.6204056365,30000000
14.5000000000,0,0.6225362000,0.3085456667,13.4239647741,30000000
9.0000000000,0,0.4155913333,0.4733341667,12.7808685650,30000000
9.6000000000,0,0.4478050667,0.4480802333,12.9087976014,30000000
19.8000000000,0,0.7201531000,0.2294460333,13.6229476637,30000000
14.6000000000,0,0.6247155000,0.3067678667,13.4294561345,30000000
9.1000000000,0,0.4211319000,0.4689123000,12.8049530375,30000000
9.7000000000,0,0.4523839000,0.4445560000,12.9262692426,30000000
19.9000000000,0,0.7214769667,0.2282491000,13.6251315534,30000000
14.7000000000,0,0.6272377333,0.3046636667,13.4347837502,30000000
9.2000000000,0,0.4265398667,0.4647887667,12.8269046313,30000000
9.8000000000,0,0.4576900333,0.4403319000,12.9456403882,30000000
20.0000000000,0,0.7227608333,0.2272292000,13.6276613979,30000000
14.8000000000,0,0.6298316667,0.3025737333,13.4407924861,30000000
9.3000000000,0,0.4319201333,0.4605591667,12.8472208948,30000000
9.9000000000,0,0.4626279000,0.4363482333,12.9627373910,30000000
